0.001	0_single	0.000	_single	-3
0.133971683	0.000_single	0.000	_single	-2.9
0.143587294	0.000_single	0.000	_single	-2.8
0.153893052	0.000_single	0.000	_single	-2.7
0.164938489	0.000_single	0.000	_single	-2.6
0.176776695	0.001_single	0.001	_single	-2.5
0.189464571	0.001_single	0.001	_single	-2.4
0.203063099	0.001_single	0.001	_single	-2.3
0.217637641	0.001_single	0.001	_single	-2.2
0.233258248	0.001_single	0.001	_single	-2.1
0.25	0.001_single	0.001	_single	-2
0.267943366	0.001_single	0.002	_single	-1.9
0.287174589	0.001_single	0.002	_single	-1.8
0.307786103	0.002_single	0.002	_single	-1.7
0.329876978	0.002_single	0.002	_single	-1.6
0.353553391	0.002_single	0.002	_single	-1.5
0.378929142	0.002_single	0.002	_single	-1.4	
0.406126198	0.002_single	0.003	_single	-1.3	
0.435275282	0.003_single	0.003	_single	-1.2	
0.466516496	0.004_single	0.005	_single	-1.1	
0.5	0.006_single	0.006	_single	-1	
0.535886731	0.008_single	0.009	_single	-0.9	
0.574349177	0.010_single	0.011	_single	-0.8	
0.615572207	0.014_single	0.014	_single	-0.7	
0.659753955	0.019_single	0.020	_single	-0.6	
0.707106781	0.027_single	0.028	_single	-0.5	
0.757858283	0.042_single	0.043	_single	-0.4	
0.812252396	0.069_single	0.069	_single	-0.3	
0.870550563	0.135_single	0.135	_single	-0.2	
0.933032992	0.278_single	0.278	_single	-0.1	
1	0.519_single	0.520	_single	0	
1.071773463	0.249_single	0.250	_single	0.7502	0.1
1.148698355	0.120_single	0.120	_single	0.8797	0.2
1.231144413	0.055_single	0.056	_single	0.9443	0.3
1.319507911	0.030_single	0.030	_single	0.9698	0.4
1.414213562	0.021_single	0.022	_single	0.9784	0.5
1.515716567	0.015_single	0.016	_single	0.9842	0.6
1.624504793	0.013_single	0.014	_single	0.9863	0.7
1.741101127	0.012_single	0.012	_single	0.9876	0.8
1.866065983	0.010_single	0.010	_single	0.9897	0.9
2	0.008_single	0.009	_single	0.9911	1
2.143546925	0.006_single	0.007	_single	0.9931	1.1
2.29739671	0.006_single	0.006	_single	0.9935	1.2
2.462288827	0.005_single	0.006	_single	0.9942	1.3
2.639015822	0.005_single	0.005	_single	0.9948	1.4
2.828427125	0.003_single	0.003	_single	0.9966	1.5
3.031433133	0.003_single	0.003	_single	0.9969	1.6
3.249009585	0.003_single	0.003	_single	0.9969	1.7
3.482202253	0.002_single	0.003	_single	0.9973	1.8
3.732131966	0.002_single	0.002	_single	0.9976	1.9
4	0.002_single	0.002	_single	0.9979	2
4.28709385	0.001_single	0.002	_single	0.9983	2.1
4.59479342	0.001_single	0.002	_single	0.9983	2.2
4.924577653	0.001_single	0.001	_single	0.9986	2.3
5.278031643	0.001_single	0.001	_single	0.9986	2.4
5.656854249	0.001_single	0.001	_single	0.9986	2.5
6.062866266	0.000_single	0.000	_single	0.9997	2.6
6.498019171	0.000_single	0.000	_single	0.9997	2.7
6.964404506	0.000_single	0.000	_single	0.9997	2.8
7.464263932	0.000_single	0.000	_single	0.9997	2.9
200	0_single	0.000	_single	1	3
